"Source:","X:\TA\Precision Current Source\PrecisionCurrentSource\PrecisionCurrentSource.kicad_sch"
"Date:","19/04/2022 01:20:49"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","30"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Beschreibung","Hersteller","Hersteller-Nr.","Lieferant","Lieferant-Nr."
"","","BT1","2x CR2032","PrecisionCurrentSource:Battery_Holder_1062","PrecisionCurrentSource:Keystone_1062","https://eu.mouser.com/datasheet/2/215/1062-745917.pdf","Coin Cell Battery Holders 2X20MM SMT COIN HOLDER","Keystone Electronics","1062","Mouser","534-1062"
"","","C1","10µF","PrecisionCurrentSource:Capacitor_0603","PrecisionCurrentSource:Capacitor_0603","~","10µF-20%-0603-X5R-10V","Kemet","C0603C106M8PACTU","Mouser","80-C0603C106M8PACTU"
"","","C2","100nF","PrecisionCurrentSource:Capacitor_0402","PrecisionCurrentSource:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C3","100nF","PrecisionCurrentSource:Capacitor_0402","PrecisionCurrentSource:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C4","10nF","PrecisionCurrentSource:Capacitor_0402","PrecisionCurrentSource:Capacitor_0402","~","10nF-10%-0402-X7R-50V","Kemet","C0402C103K5REC7411","Mouser","80-C0402C103K5RECLR"
"","","C5","100nF","PrecisionCurrentSource:Capacitor_0402","PrecisionCurrentSource:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C6","10nF","PrecisionCurrentSource:Capacitor_0402","PrecisionCurrentSource:Capacitor_0402","~","10nF-10%-0402-X7R-50V","Kemet","C0402C103K5REC7411","Mouser","80-C0402C103K5RECLR"
"","","C7","1µF","PrecisionCurrentSource:Capacitor_0603","PrecisionCurrentSource:Capacitor_0603","~","1µF-10%-0603-X7R-25V","Kemet","C0603C105K3RACTU	","Mouser","80-C0603C105K3R	"
"","","C8","10nF","PrecisionCurrentSource:Capacitor_0402","PrecisionCurrentSource:Capacitor_0402","~","10nF-10%-0402-X7R-50V","Kemet","C0402C103K5REC7411","Mouser","80-C0402C103K5RECLR"
"","","C9","1µF","PrecisionCurrentSource:Capacitor_0603","PrecisionCurrentSource:Capacitor_0603","~","1µF-10%-0603-X7R-25V","Kemet","C0603C105K3RACTU	","Mouser","80-C0603C105K3R	"
"","","C10","1µF","PrecisionCurrentSource:Capacitor_0603","PrecisionCurrentSource:Capacitor_0603","~","1µF-10%-0603-X7R-25V","Kemet","C0603C105K3RACTU	","Mouser","80-C0603C105K3R	"
"","","C11","10nF","PrecisionCurrentSource:Capacitor_0402","PrecisionCurrentSource:Capacitor_0402","~","10nF-10%-0402-X7R-50V","Kemet","C0402C103K5REC7411","Mouser","80-C0402C103K5RECLR"
